rowid	repo	accession	data url	total citations	article reference note; see also: 'COMMENTS'	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	How many merged citation records?	WoS Cited by how many?	COMMENTS	Google Scholar Search Term	Search results	Dropbox filenames (for multiple files or multiple citations)	Imported to Mendeley?	Link ot GS results	MONTH_wos_citingPaper_colxn	DAY_wos_citingPaper_colxn	YEAR_wos_citingPaper_colxn	string matched to (partial) file name to extract data collection date data	Journal (for Journal Archives Set)	"date made public (ArrayExpress, GEO)"	WOS cited by collected (HEPData)	Published and PrePrint INFO (HEPData)	"authors (GEOROC, Journal Archives (International Studies Quarterly = authors (pub. Yr.))"	"jrnl vol year pages (GEOROC); year (ICPSR); pub month, year, volume, issue (JournalArchives - but NOT: International Studies Quarterly; Journal of Peace Research = vol, issue only)"	"article title (GEOROC, JournalArchives)"	misc bibliographic (Biostats; Journal of Applied Econometrics; Journal of Conflict Resolution; International Studies Quarterly); page numbers( Journal of Money Credit and Banking; The Federal Reserve Bank of St Louis Review; American Economic Review); author_title ( Journal of Peace Research)	"article ref when multiple in record, if there was a difference in scope, this version is less inclusive (JournalArchives); article ref from data source (TreeBase)"	data citation (dataset doi) OLD that differ from NEW dataset DOI's (Pangaea)	Total Data Reuses (Pangaea)	Unable to access full text (Pangaea)	Date Recorded (Pangaea)
303	GEO	GSE3065	NA	220	NA	"Sato S, Sanjo H, Takeda K, Ninomiya-Tsuji J et al. Essential function for the kinase TAK1 in innate and adaptive immune responses. Nat Immunol 2005 Nov;6(11):1087-95. PMID: 16186825"	16186825	10.1038/ni1255	Y 	1	1	220	NA	GSE3065 OR 'GSE 3065'	1	NA	y	NA	Oct	21	2010	GSE3065	NA	8/11/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
304	GEO	GSE1455	NA	6	NA	"Jack GD, Garst JF, Cabrera MC, DeSantis AM et al. Long term metabolic arrest and recovery of HEK293 spheroids involves NF-kappaB signaling and sustained JNK activation. J Cell Physiol 2006 Feb;206(2):526-36. PMID: 16155929"	16155929	10.1002/jcp.20499	Y 	1	1	6	NA	GSE1455 OR 'GSE 1455'	2	NA	y	NA	Oct	21	2010	GSE1455	NA	8/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
305	GEO	GSE1557	NA	26	NA	"Wellner M, Dechend R, Park JK, Shagdarsuren E et al. Cardiac gene expression profile in rats with terminal heart failure and cachexia. Physiol Genomics 2005 Feb 10;20(3):256-67. PMID: 15623567"	15623567	10._1152/_physiolgenomics._00165._2004 	Y 	1	1	26	NA	GSE1557 OR 'GSE 1557'	0	NA	NA	NA	Oct	21	2010	GSE1557	NA	1/3/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
306	GEO	GSE3060	NA	58	NA	"Beckstead RB, Lam G, Thummel CS. The genomic response to 20-hydroxyecdysone at the onset of Drosophila metamorphosis. Genome Biol 2005;6(12):R99. PMID: 16356271"	16356271	10.1186/gb-2005-6-12-r99	Y 	1	1	58	NA	GSE3060 OR 'GSE 3060'	0	NA	NA	NA	Oct	21	2010	GSE3060	NA	10/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
307	GEO	GSE2578	NA	163	NA	"Klebanoff CA, Gattinoni L, Torabi-Parizi P, Kerstann K et al. Central memory self/tumor-reactive CD8+ T cells confer superior antitumor immunity compared with effector memory T cells. Proc Natl Acad Sci U S A 2005 Jul 5;102(27):9571-6. PMID: 15980149"	15980149	10.1073/pnas.0503726102	Y 	1	1	163	NA	GSE2578 OR 'GSE 2578'	0	NA	NA	NA	Oct	21	2010	GSE2578	NA	4/27/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
308	GEO	GSE3777	NA	NA	citation missing	NA	NA 	NA	NA	NA	NA	NA	NA	GSE3777 OR 'GSE 3777'	0	NA	NA	NA	NA	NA	NA	NA	NA	12/9/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
309	GEO	GSE1818	NA	65	NA	"Skotheim RI, Lind GE, Monni O, Nesland JM et al. Differentiation of human embryonal carcinomas in vitro and in vivo reveals expression profiles relevant to normal development. Cancer Res 2005 Jul 1;65(13):5588-98. PMID: 15994931"	15994931	10.1158/0008-5472.CAN-05-0153 	Y	1	1	65	NA	GSE1818 OR 'GSE 1818'	5	NA	y	NA	Oct	21	2010	GSE1818	NA	7/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
310	GEO	GSE2144	NA	14	NA	"Duggan SP, Gallagher WM, Fox EJ, Abdel-Latif MM et al. Low pH induces co-ordinate regulation of gene expression in oesophageal cells. Carcinogenesis 2006 Feb;27(2):319-27. PMID: 16113055"	16113055	10.1093/carcin/bgi211	Y 	1	1	14	NA	GSE2144 OR 'GSE 2144'	3	NA	y	NA	Oct	21	2010	GSE2144	NA	10/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
311	GEO	GSE2689	NA	4	NA	"Huang J, Miao X, Jin W, Couble P et al. Radiation-induced changes in gene expression in the silkworm revealed by serial analysis of gene expression (SAGE). Insect Mol Biol 2005 Dec;14(6):665-74. PMID: 16313566"	16313566	10.1111/j.1365-2583.2005.00594.x	Y	1	1	4	NA	GSE2689 OR 'GSE 2689'	0	NA	NA	NA	Oct	21	2010	GSE2689	NA	6/20/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
312	GEO	GSE3554	NA	53	NA	"Steele MR, Inman DM, Calkins DJ, Horner PJ et al. Microarray analysis of retinal gene expression in the DBA/2J model of glaucoma. Invest Ophthalmol Vis Sci 2006 Mar;47(3):977-85. PMID: 16505032"	16505032	10.1167/iovs.05-0865 	Y 	1	1	53	NA	GSE3554 OR 'GSE 3554'	1	NA	y	NA	Oct	21	2010	GSE3554	NA	11/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
313	GEO	GSE3904	NA	NA	citation missing	NA	NA 	NA	NA	NA	NA	NA	NA	GSE3904 OR 'GSE 3904'	1	NA	y	NA	NA	NA	NA	NA	NA	12/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
314	GEO	GSE2855	NA	36	NA	"Sansom SN, H_bert JM, Thammongkol U, Smith J et al. Genomic characterisation of a Fgf-regulated gradient-based neocortical protomap. Development 2005 Sep;132(17):3947-61. PMID: 16079153"	16079153	10.1242/dev.01968 	Y	1	1	36	NA	GSE2855 OR 'GSE 2855'	0	NA	NA	NA	Oct	21	2010	GSE2855	NA	8/26/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
315	GEO	GSE2095	NA	39	NA	"Flatley J, Barrett J, Pullan ST, Hughes MN et al. Transcriptional responses of Escherichia coli to S-nitrosoglutathione under defined chemostat conditions reveal major changes in methionine biosynthesis. J Biol Chem 2005 Mar 18;280(11):10065-72. PMID: 15647275"	15647275	10.1074/jbc.M410393200	Y 	1	1	39	NA	GSE2095 OR 'GSE 2095'	1	NA	y	NA	Oct	21	2010	GSE2095	NA	4/6/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
316	GEO	GSE3292	NA	54	NA	"Slebos RJ, Yi Y, Ely K, Carter J et al. Gene expression differences associated with human papillomavirus status in head and neck squamous cell carcinoma. Clin Cancer Res 2006 Feb 1;12(3 Pt 1):701-9. PMID: 16467079"	16467079	10.1158/1078-0432.CCR-05-2017 	Y 	1	1	54	2 citations found	GSE3292 OR 'GSE 3292'	4	GSE3292(SlebosRJ_ClinCancerRes2006)	y	NA	Oct	21	2010	GSE3292(SlebosRJ_ClinCancerRes2006)	NA	11/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
317	GEO	GSE3292	NA	105	NA	"Chung CH, Ely K, McGavran L, Varella-Garcia M et al. Increased epidermal growth factor receptor gene copy number is associated with poor prognosis in head and neck squamous cell carcinomas. J Clin Oncol 2006 Sep 1;24(25):4170-6. PMID: 16943533"	16943533	10.1200/JCO.2006.07.2587	Y	2	2	105	NA	NA	NA	GSE3292(ChungCH_JClinOncol2006)	NA	NA	Oct	21	2010	GSE3292(ChungCH_JClinOncol2006)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
318	GEO	GSE3551	NA	211	NA	"Chang HY, Chi JT, Dudoit S, Bondre C et al. Diversity, topographic differentiation, and positional memory in human fibroblasts. Proc Natl Acad Sci U S A 2002 Oct 1;99(20):12877-82. PMID: 12297622"	12297622	10.1073/pnas.162488599	Y	1	1	211	2 citations found	GSE3551 OR 'GSE 3551'	0	GSE3551(ChangHY_ProcNatlAcadSciUSA2002)	NA	NA	Oct	21	2010	GSE3551(ChangHY_ProcNatlAcadSciUSA2002)	NA	11/3/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
319	GEO	GSE3551	NA	NA	NA	"Chang HY, Sneddon JB, Alizadeh AA, Sood R et al. Gene expression signature of fibroblast serum response predicts human cancer progression: similarities between tumors and wounds. PLoS Biol 2004 Feb;2(2):E7. PMID: 14737219"	14737219	10.1371/journal.pbio.0020007	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	GEO	GSE1772	NA	8	NA	"Hansson O, Donsmark M, Ling C, Nevsten P et al. Transcriptome and proteome analysis of soleus muscle of hormone-sensitive lipase-null mice. J Lipid Res 2005 Dec;46(12):2614-23. PMID: 16199803"	16199803	10.1194/jlr.M500028-JLR200 	Y	1	1	8	NA	GSE1772 OR 'GSE 1772'	0	NA	NA	NA	Oct	21	2010	GSE1772	NA	9/16/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
321	GEO	GSE2520	NA	333	NA	"Garraway LA, Widlund HR, Rubin MA, Getz G et al. Integrative genomic analyses identify MITF as a lineage survival oncogene amplified in malignant melanoma. Nature 2005 Jul 7;436(7047):117-22. PMID: 16001072"	16001072	10.1038/nature03664	Y	1	1	333	NA	GSE2520 OR 'GSE 2520'	3	NA	y	NA	Oct	21	2010	GSE2520	NA	7/2/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
322	GEO	GSE1191	NA	33	NA	"Biehl A, Richly E, Noutsos C, Salamini F et al. Analysis of 101 nuclear transcriptomes reveals 23 distinct regulons and their relationship to metabolism, chromosomal gene distribution and co-ordination of nuclear and plastid gene expression. Gene 2005 Jan 3;344:33-41. PMID: 15656970"	15656970	10.1016/j.gene.2004.09.009	Y	1	1	33	NA	GSE1191 OR 'GSE 1191'	1	NA	y	NA	Oct	21	2010	GSE1191	NA	1/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
323	GEO	GSE2349	NA	47	NA	"Ye J, Ai X, Eugeni EE, Zhang L et al. Histone H4 lysine 91 acetylation a core domain modification associated with chromatin assembly. Mol Cell 2005 Apr 1;18(1):123-30. PMID: 15808514"	15808514	10.1016/j.molcel.2005.02.031	Y	2	2	47	NA	GSE2349 OR 'GSE 2349'	0	NA	NA	NA	Oct	21	2010	GSE2349	NA	5/24/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
324	GEO	GSE1957	NA	6	NA	"Andersson KB, Florholmen G, Winer LH, Tnnessen T et al. Regulation of neuronal type genes in congestive heart failure rats. Acta Physiol (Oxf) 2006 Jan;186(1):17-27. PMID: 16497176"	16497176	10.1111/j.1748-1716.2005.01503.x	Y 	1	1	6	NA	GSE1957 OR 'GSE 1957'	0	NA	NA	NA	Oct	21	2010	GSE1957	NA	11/10/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
325	GEO	GSE2014	NA	8	NA	"Beisvag V, Lehre PK, Midelfart H, Aass H et al. Aetiology-specific patterns in end-stage heart failure patients identified by functional annotation and classification of microarray data. Eur J Heart Fail 2006 Jun;8(4):381-9. PMID: 16753336"	16753336	10.1016/j.ejheart.2006.05.004	Y	1	1	8	NA	GSE2014 OR 'GSE 2014'	1	NA	y	NA	Oct	21	2010	GSE2014	NA	11/24/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
326	GEO	GSE3933	NA	388	NA	"Lapointe J, Li C, Higgins JP, van de Rijn M et al. Gene expression profiling identifies clinically relevant subtypes of prostate cancer. Proc Natl Acad Sci U S A 2004 Jan 20;101(3):811-6. PMID: 14711987"	14711987	10.1073/pnas.0304146101	Y	1	1	388	NA	GSE3933 OR 'GSE 3933'	6	NA	y	NA	Oct	21	2010	GSE3933	NA	12/30/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
327	GEO	GSE1165	NA	33	NA	"Biehl A, Richly E, Noutsos C, Salamini F et al. Analysis of 101 nuclear transcriptomes reveals 23 distinct regulons and their relationship to metabolism, chromosomal gene distribution and co-ordination of nuclear and plastid gene expression. Gene 2005 Jan 3;344:33-41. PMID: 15656970"	15656970	10.1016/j.gene.2004.09.009	Y	1	1	33	NA	GSE1165 OR 'GSE 1165'	0	NA	NA	NA	Oct	21	2010	GSE1165	NA	1/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
328	GEO	GSE3398	NA	552	NA	"Garber ME, Troyanskaya OG, Schluens K, Petersen S et al. Diversity of gene expression in adenocarcinoma of the lung. Proc Natl Acad Sci U S A 2001 Nov 20;98(24):13784-9. PMID: 11707590"	11707590	10.1073/pnas.241500798	Y 	1	1	552	dropbox files separated into 2 files	GSE3398 OR 'GSE 3398'	5	GSE3398(records1-500) and GSE3398(records501-552)	y	NA	Oct	21	2010	GSE3398(records1-500) and GSE3398(records500-552)	NA	9/30/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
329	GEO	GSE3755	NA	NA	citation missing	NA	NA 	NA	NA	NA	NA	NA	NA	GSE3755 OR 'GSE 3755'	1	NA	y	NA	NA	NA	NA	NA	NA	12/7/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
330	GEO	GSE2603	NA	518	NA	"Minn AJ, Gupta GP, Siegel PM, Bos PD et al. Genes that mediate breast cancer metastasis to lung. Nature 2005 Jul 28;436(7050):518-24. PMID: 16049480"	16049480	10.1038/nature03799	Y 	1	1	518	dropbox files separated into 2 files	GSE2603 OR 'GSE 2603'	22	GSE2603(records1-500) and GSE2603(records500-518)	y	NA	Oct	23	2010	GSE2603(records1-500) and GSE2603(records501-518)	NA	7/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
331	GEO	GSE2191	NA	62	NA	"Yagi T, Morimoto A, Eguchi M, Hibi S et al. Identification of a gene expression signature associated with pediatric AML prognosis. Blood 2003 Sep 1;102(5):1849-56. PMID: 12738660"	12738660	10.1182/blood-2003-02-0578 	Y 	1	1	62	NA	GSE2191 OR 'GSE 2191'	1	NA	y	NA	Oct	23	2010	GSE2191	NA	1/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
332	GEO	GSE3271	NA	29	NA	"Sayama K, Diehn M, Matsuda K, Lunderius C et al. Transcriptional response of human mast cells stimulated via the Fc(epsilon)RI and identification of mast cells as a source of IL-11. BMC Immunol 2002 Jun 12;3:5. PMID: 12079505"	12079505	10.1182/blood-2003-02-0578 	Y 	1	1	29	NA	GSE3271 OR 'GSE 3271'	0	NA	NA	NA	Oct	23	2010	GSE3271	NA	9/9/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
333	GEO	GSE2868	NA	NA	citation missing	NA	NA 	NA	NA	NA	NA	NA	NA	GSE2464 OR 'GSE 2464'	1	NA	y	NA	NA	NA	NA	NA	NA	7/6/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
334	GEO	GSE2464	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	4/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
335	GEO	GSE1707	NA	5	NA	"Bonde P, Sui G, Dhara S, Wang J et al. Cytogenetic characterization and gene expression profiling in the rat reflux-induced esophageal tumor model. J Thorac Cardiovasc Surg 2007 Mar;133(3):763-9. PMID: 17320581"	17320581	10.1016/j.jtcvs.2006.07.044	Y 	1	1	5	NA	GSE1707 OR 'GSE 1707'	1	NA	y	NA	Oct	23	2010	GSE1707	NA	8/25/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
336	GEO	GSE2058	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	GSE2058 OR 'GSE 2058'	2	NA	y	NA	NA	NA	NA	NA	NA	12/11/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
337	GEO	GSE3564	NA	111	NA	"Chan K, Baker S, Kim CC, Detweiler CS et al. Genomic comparison of Salmonella enterica serovars and Salmonella bongori by use of an S. enterica serovar typhimurium DNA microarray. J Bacteriol 2003 Jan;185(2):553-63. PMID: 12511502"	12511502	10.1128/JB.185.2.553-563.2003	Y 	3	3	111	NA	GSE3564 OR 'GSE 3564'	0	NA	NA	NA	Oct	23	2010	GSE3564	NA	11/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
338	GEO	GSE2151	NA	52	NA	"Baron D, Houlgatte R, Fostier A, Guiguen Y. Large-scale temporal gene expression profiling during gonadal differentiation and early gametogenesis in rainbow trout. Biol Reprod 2005 Nov;73(5):959-66. PMID: 16014816"	16014816	10.1095/_biolreprod.105.041830 	Y 	1	1	52	NA	GSE2151 OR 'GSE 2151'	0	NA	NA	NA	Oct	23	2010	GSE2151	NA	6/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
339	GEO	GSE3184	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	GSE3184 OR 'GSE 3184'	2	NA	y	NA	NA	NA	NA	NA	NA	8/24/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
340	GEO	GSE3462	NA	63	NA	"Cl_ment K, Viguerie N, Diehn M, Alizadeh A et al. In vivo regulation of human skeletal muscle gene expression by thyroid hormone. Genome Res 2002 Feb;12(2):281-91. PMID: 11827947"	11827947	10.1101/gr.207702	Y 	1	1	63	NA	GSE3462 OR 'GSE 3462'	0	NA	NA	NA	Oct	23	2010	GSE3462	NA	10/18/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
341	GEO	GSE3137	NA	169	NA	"Israel DA, Salama N, Krishna U, Rieger UM et al. Helicobacter pylori genetic diversity within the gastric niche of a single human host. Proc Natl Acad Sci U S A 2001 Dec 4;98(25):14625-30. PMID: 11724955"	11724955	10.1073/pnas.251551698	Y 	1	1	169	NA	GSE3137 OR 'GSE 3137'	0	NA	NA	NA	Oct	23	2010	GSE3137	NA	8/16/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
342	GEO	GSE2956	NA	50	NA	"Radaelli T, Varastehpour A, Catalano P, Hauguel-de Mouzon S. Gestational diabetes induces placental genes for chronic stress and inflammatory pathways. Diabetes 2003 Dec;52(12):2951-8. PMID: 14633856"	14633856	10.2337/diabetes.52.12.2951	Y 	1	1	50	NA	GSE2956 OR 'GSE 2956'	0	NA	NA	NA	Oct	23	2010	GSE2956	NA	7/18/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
343	GEO	GSE2289	NA	12	NA	"Prinz I, Gregoire C, Mollenkopf H, Aguado E et al. The type 1 cysteinyl leukotriene receptor triggers calcium influx and chemotaxis in mouse alpha beta- and gamma delta effector T cells. J Immunol 2005 Jul 15;175(2):713-9. PMID: 16002666"	16002666	NA	Y 	1	1	12	NA	GSE2289 OR 'GSE 2289'	0	NA	NA	NA	Oct	23	2010	GSE2289	NA	3/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
344	GEO	GSE3677	NA	41	NA	"Klein C, Bauersachs S, Ulbrich SE, Einspanier R et al. Monozygotic twin model reveals novel embryo-induced transcriptome changes of bovine endometrium in the preattachment period. Biol Reprod 2006 Feb;74(2):253-64. PMID: 16207835"	16207835	10.1095/_biolreprod.105.046748 	Y 	1	1	41	NA	GSE3677 OR 'GSE 3677'	0	NA	NA	NA	Oct	23	2010	GSE3677	NA	12/7/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
345	GEO	GSE1241	NA	34	NA	"Biehl A, Richly E, Noutsos C, Salamini F et al. Analysis of 101 nuclear transcriptomes reveals 23 distinct regulons and their relationship to metabolism, chromosomal gene distribution and co-ordination of nuclear and plastid gene expression. Gene 2005 Jan 3;344:33-41. PMID: 15656970"	15656970	10.1016/j.gene.2004.09.009	Y 	1	1	34	NA	GSE1241 OR 'GSE 1241'	0	NA	NA	NA	Oct	23	2010	GSE1241	NA	1/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
346	GEO	GSE2672	NA	372	NA	"Kim TH, Barrera LO, Zheng M, Qu C et al. A high-resolution map of active promoters in the human genome. Nature 2005 Aug 11;436(7052):876-80. PMID: 15988478"	15988478	10.1038/nature03877	Y 	2	2	372	NA	GSE2672 OR 'GSE 2672'	3	NA	y	NA	Oct	23	2010	GSE2672	NA	6/29/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
347	GEO	GSE3878	NA	42	NA	"Wunder C, Churin Y, Winau F, Warnecke D et al. Cholesterol glucosylation promotes immune evasion by Helicobacter pylori. Nat Med 2006 Sep;12(9):1030-8. PMID: 16951684"	16951684	10.1038/nm1480 	Y 	2	2	42	NA	GSE3878 OR 'GSE 3878'	0	NA	y	NA	Oct	23	2010	GSE3878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
348	GEO	GSE1610	NA	NA	NA	"Xiao Y, Yang YH, Burckin TA, Shiue L et al. Analysis of a splice array experiment elucidates roles of chromatin elongation factor Spt4-5 in splicing. PLoS Comput Biol 2005 Sep;1(4):e39. PMID: 16172632"	16172632	10.1371/journal.pcbi.0010039	N	NA	NA	NA	NA	GSE1610 OR 'GSE 1610'	0	NA	NA	NA	NA	NA	NA	NA	NA	11/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
349	GEO	GSE3658	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	GSE3658 OR 'GSE 3658'	0	NA	NA	NA	NA	NA	NA	NA	NA	12/13/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
350	GEO	GSE3889	NA	22	NA	"Flowers MT, Groen AK, Oler AT, Keller MP et al. Cholestasis and hypercholesterolemia in SCD1-deficient mice fed a low-fat, high-carbohydrate diet. J Lipid Res 2006 Dec;47(12):2668-80. PMID: 17005996"	17005996	10.1194/jlr.M600203-JLR200	Y 	1	1	22	NA	GSE3889 OR 'GSE 3889'	2	NA	y	NA	Oct	23	2010	GSE3889	NA	12/23/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
351	GEO	GSE1236	NA	34	NA	"Biehl A, Richly E, Noutsos C, Salamini F et al. Analysis of 101 nuclear transcriptomes reveals 23 distinct regulons and their relationship to metabolism, chromosomal gene distribution and co-ordination of nuclear and plastid gene expression. Gene 2005 Jan 3;344:33-41. PMID: 15656970"	15656970	10.1016/j.gene.2004.09.009	Y 	1	1	34	NA	GSE1236 OR 'GSE 1236'	0	NA	NA	NA	Oct	23	2010	GSE1236	NA	1/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
352	GEO	GSE3922	NA	40	NA	"Roose JP, Diehn M, Tomlinson MG, Lin J et al. T cell receptor-independent basal signaling via Erk and Abl kinases suppresses RAG gene expression. PLoS Biol 2003 Nov;1(2):E53. PMID: 14624253"	14624253	10.1371/journal.pbio.0000053	Y 	1	1	40	NA	GSE3922 OR 'GSE 3922'	0	NA	NA	NA	Oct	23	2010	GSE3922	NA	12/29/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
353	GEO	GSE2953	NA	37	NA	"Saldanha AJ, Brauer MJ, Botstein D. Nutritional homeostasis in batch and steady-state culture of yeast. Mol Biol Cell 2004 Sep;15(9):4089-104. PMID: 15240820"	15240820	10.1091/mbc.E04-04-0306	Y 	1	1	37	NA	GSE2953 OR 'GSE 2953'	0	NA	NA	NA	Oct	23	2010	GSE2953	NA	7/16/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
354	GEO	GSE3857	NA	26	NA	"Morrison RN, Cooper GA, Koop BF, Rise ML et al. Transcriptome profiling the gills of amoebic gill disease (AGD)-affected Atlantic salmon (Salmo salar L.): a role for tumor suppressor p53 in AGD pathogenesis? Physiol Genomics 2006 Jun 16;26(1):15-34. PMID: 16493018"	16493018	10._1152/_physiolgenomics._00320._2005 	Y	1	1	26	NA	GSE3857 OR 'GSE 3857'	0	NA	NA	NA	Oct	23	2010	GSE3857	NA	12/20/3005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
355	GEO	GSE1173	NA	34	NA	"Biehl A, Richly E, Noutsos C, Salamini F et al. Analysis of 101 nuclear transcriptomes reveals 23 distinct regulons and their relationship to metabolism, chromosomal gene distribution and co-ordination of nuclear and plastid gene expression. Gene 2005 Jan 3;344:33-41. PMID: 15656970"	15656970	10.1016/j.gene.2004.09.009	Y	1	1	34	NA	GSE1173 OR 'GSE 1173'	0	NA	NA	NA	Oct	23	2010	GSE1173	NA	1/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
356	GEO	GSE2266	NA	1	NA	"Shin Y, Kitayama A, Koide T, Peiffer DA et al. Identification of neural genes using Xenopus DNA microarrays. Dev Dyn 2005 Feb;232(2):432-44. PMID: 15614765"	15614765	10.1002/dvdy.20229	NA	1	1	1	NA	GSE2266 OR 'GSE 2266'	0	NA	NA	NA	Oct	23	2010	GSE2266	NA	3/5/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
357	GEO	GSE2350	NA	298	NA	"Basso K, Margolin AA, Stolovitzky G, Klein U et al. Reverse engineering of regulatory networks in human B cells. Nat Genet 2005 Apr;37(4):382-90. PMID: 15778709"	15778709	10.1038/ng1532	Y	2	2	298	3 citations found	GSE2350 OR 'GSE 2350'	24	GSE2350(BassoK_NatGenet2005)	y	NA	Oct	23	2010	GSE2350(BassoK_NatGenet2005)	NA	4/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
358	GEO	GSE2350	NA	90	NA	"Phan RT, Saito M, Basso K, Niu H et al. BCL6 interacts with the transcription factor Miz-1 to suppress the cyclin-dependent kinase inhibitor p21 and cell cycle arrest in germinal center B cells. Nat Immunol 2005 Oct;6(10):1054-60. PMID: 16142238"	16142238	10.1038/ni1245 	Y	1	1	90	NA	NA	NA	GSE2350(PhanRT_NatImmunol2005)	NA	NA	Oct	23	2010	GSE2350(PhanRT_NatImmunol2005)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
359	GEO	GSE2350	NA	3	NA	"Basso K, Saito M, Sumazin P, Margolin AA et al. Integrated biochemical and computational approach identifies BCL6 direct target genes controlling multiple pathways in normal germinal center B cells. Blood 2010 Feb 4;115(5):975-84. PMID: 19965633"	19965633	10.1182/blood-2009-06-227017	Y	1	1	3	NA	NA	NA	GSE2350(BassoK_Blood2010)	NA	NA	Oct	23	2010	GSE2350(BassoK_Blood2010)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
