rowid	repo	accession	data url	total citations	article reference note; see also: 'COMMENTS'	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	How many merged citation records?	WoS Cited by how many?	COMMENTS	Google Scholar Search Term	Search results	Dropbox filenames (for multiple files or multiple citations)	Imported to Mendeley?	Link ot GS results	MONTH_wos_citingPaper_colxn	DAY_wos_citingPaper_colxn	YEAR_wos_citingPaper_colxn	string matched to (partial) file name to extract data collection date data	Journal (for Journal Archives Set)	"date made public (ArrayExpress, GEO)"	WOS cited by collected (HEPData)	Published and PrePrint INFO (HEPData)	"authors (GEOROC, Journal Archives (International Studies Quarterly = authors (pub. Yr.))"	"jrnl vol year pages (GEOROC); year (ICPSR); pub month, year, volume, issue (JournalArchives - but NOT: International Studies Quarterly; Journal of Peace Research = vol, issue only)"	"article title (GEOROC, JournalArchives)"	misc bibliographic (Biostats; Journal of Applied Econometrics; Journal of Conflict Resolution; International Studies Quarterly); page numbers( Journal of Money Credit and Banking; The Federal Reserve Bank of St Louis Review; American Economic Review); author_title ( Journal of Peace Research)	"article ref when multiple in record, if there was a difference in scope, this version is less inclusive (JournalArchives); article ref from data source (TreeBase)"	data citation (dataset doi) OLD that differ from NEW dataset DOI's (Pangaea)	Total Data Reuses (Pangaea)	Unable to access full text (Pangaea)	Date Recorded (Pangaea)
32	ArrayExpress	E-MEXP-438	NA	53	NA	"Two major branches of anti-cadmium defense in the mouse: MTF-1/metallothioneins and glutathione. Wimmer, Ursula; Wang, Ying; Georgiev, Oleg; Schaffner, Walter. Nucleic Acids Res 33(18):5715 (Nucleic Acids Res), PubMed 16221973"	16221973	NA	y	2	2	53	NA	E-MEXP-438	0	NA	NA	NA	Oct	30	2010	E-MEXP-438	NA	10/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	ArrayExpress	E-MARS-4	NA	46	NA	"Gene expression profiling of human mesenchymal stem cells derived from bone marrow during expansion and osteoblast differentiation. Kulterer B, Friedl G, Jandrositz A, Sanchez-Cabo F, Prokesch A, Paar C, Scheideler M, Windhager R, Preisegger KH, Trajanoski Z. BMC genomics 12(8):70 (BMC genomics), PubMed 17352823"	17352823	NA	y	3	3	46	NA	E-MARS-4	0	NA	NA	NA	Oct	30	2010	E-MARS-4	NA	10/21/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	ArrayExpress	E-MEXP-412	NA	13	NA	"Meta-analysis of Differentiating Mouse Embryonic Stem Cell Gene Expression Kinetics Reveals Early Change of a Small Gene Set. Glover, C.H., Marin, M., Eaves, C.J., Helgason, C.D., Piret, J.M., Bryan, J. PLoS Comput Biol 2(11):e158 (PLoS Comput Biol), PubMed 17121458"	17121458	NA	y	2	2	13	NA	E-MEXP-412	1	NA	y	NA	NA	NA	NA	NA	NA	8/25/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	ArrayExpress	E-MEXP-307	NA	NA	NA	Maria Marcela Baudo; Rebecca Lyons; Stephen Powers; Melloney McCluskey; Keith Edwards; Peter Shewry; Michael Holdsworth.	NA	NA	NA	NA	NA	NA	primary citation on ArrayExpress database only had author's names - INCOMPLETE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4/21/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	ArrayExpress	E-MEXP-182	NA	53	NA	"Brosch_ M, Vinocur B, Alatalo ER, Lamminm_ki A, Teichmann T, Ottow EA,Djilianov D, Afif D, Bogeat-Triboulot MB, Altman A, Polle A, Dreyer E, Rudd S,Paulin L, Auvinen P, Kangasj_rvi J. Gene expression and metabolite profiling ofPopulus euphratica growing in the Negev desert. Genome Biol. 2005;6(12):R101.Epub 2005 Dec 2. PubMed PMID: 16356264; PubMed Central PMCID: PMC1414072."	16356264	NA	y	5	5	53	NA	E-MEXP-182	0	NA	NA	NA	Oct	30	2010	E-MEXP-182	NA	2/14/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	ArrayExpress	E-MEXP-443	NA	NA	NA	"Sessa G, Carabelli M, Sassi M, Ciolfi A, Possenti M, Mittempergher F, BeckerJ, Morelli G, Ruberti I. A dynamic balance between gene activation and repressionregulates the shade avoidance response in Arabidopsis. Genes Dev. 2005 Dec1;19(23):2811-5. PubMed PMID: 16322556; PubMed Central PMCID: PMC1315388."	16322556	NA	n 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11/3/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	ArrayExpress	E-MEXP-364	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8/3/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	ArrayExpress	E-MEXP-258	NA	2	NA	"Boucneau J, De Schepper S, Vuylsteke M, Van Hummelen P, Naeyaert JM, LambertJ. Gene expression profiling of cultured human NF1 heterozygous (NF1+/-)melanocytes reveals downregulation of a transcriptional cis-regulatory networkmediating activation of the melanocyte-specific dopachrome tautomerase (DCT)gene. Pigment Cell Res. 2005 Aug;18(4):285-99. PubMed PMID: 16033338."	16033338	NA	y	1	1	2	NA	E-MEXP-258	0	NA	NA	NA	Nov	1	2010	E-MEXP-258	NA	2/14/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	ArrayExpress	E-MEXP-378	NA	17	NA	"Renzoni A, Barras C, Fran_ois P, Charbonnier Y, Huggler E, Garzoni C, KelleyWL, Majcherczyk P, Schrenzel J, Lew DP, Vaudaux P. Transcriptomic and functional analysis of an autolysis-deficient, teicoplanin-resistant derivative ofmethicillin-resistant Staphylococcus aureus. Antimicrob Agents Chemother. 2006Sep;50(9):3048-61. PubMed PMID: 16940101; PubMed Central PMCID: PMC1563528."	16940101	NA	y	1	1	17	2 citations found - dropbox files: E-MEXP-378_Renzoni2006 and E-MEXP-378_Vlachou2005	E-MEXP-378	0	NA	NA	NA	Nov	1	2010	E-MEXP-378_Renzoni2006	NA	7/14/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	ArrayExpress	E-MEXP-378	NA	61	NA	"Vlachou D, Schlegelmilch T, Christophides GK, Kafatos FC. Functional genomicanalysis of midgut epithelial responses in Anopheles during Plasmodium invasion. Curr Biol. 2005 Jul 12;15(13):1185-95. PubMed PMID: 16005290."	16005290	NA	y	2	2	61	NA	E-MEXP-378	NA	NA	NA	NA	Nov	1	2010	E-MEXP-378_Vlachou2005	NA	7/14/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
