index number,summary,url,Dropbox name,article reference,Article DOI,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,# WoS Cited by collected?,COMMENTS,Dropbox filenames (for multiple files or multiple citations),Google Scholar query,GS relevant results
49,"Published: PR C72,058202 (Spires ID: 6205135)",http://hepdata.cedar.ac.uk/view/p4643,p4643,"K. Joo et al. Phys.Rev.C72:058202,2005.",10.1103/PhysRevC.72.058202,Y,1,17,13,,,"HEPData AND ""p4643""",0
50,"Published: PL B626,45 Preprint: FERMILAB-PUB-05-087-E (Spires ID: 6204708)",http://hepdata.cedar.ac.uk/view/p4310,p4310,"V.M. Abazov et al. Phys.Lett.B626:45-54,2005",10.1016/j.physletb.2005.08.104,Y,1,30,25,,,"HEPData AND ""p4310""",0
51,"Published: EPJ A24,275 (Spires ID: 6195024)",http://hepdata.cedar.ac.uk/view/p991,p991,"R. Lawall et al. Eur.Phys.J.A24:275-286,2005. ",10.1140/epja/i2005-10002-x,Y,1,54,44,,,"HEPData AND ""p991""",0
52,"Published: PL B615,19 Preprint: CERN-PH-EP-2005-012 (Spires ID: 6183620)",http://hepdata.cedar.ac.uk/view/p369,p369,"P. Achard et al. Phys.Lett.B615:19-30,2005. ",10.1016/j.physletb.2005.04.011,Y,1,12,11,,,"HEPData AND ""p369""",0
53,"Published: PL 95,142003 Preprint: SLAC-PUB-11100 (Spires ID: 6181155)",http://hepdata.cedar.ac.uk/view/p4266,p4266,"Bernard Aubert et al. Phys.Rev.Lett.95:142003,2005. ",10.1103/PhysRevLett.95.142003,Y,1,9,6,,,"HEPData AND ""p4266""",0
54,"Published: PL B616,145 Preprint: CERN-PH-EP-2005-011 (Spires ID: 6181139)",http://hepdata.cedar.ac.uk/view/p368,p368,"P. Achard et al. Phys.Lett.B616:145-158,2005.",10.1016/j.physletb.2005.04.054,Y,1,1,1,,,"HEPData AND ""p368""",0
55,"Published: NP B718,3 Preprint: DESY-05-038 (Spires ID: 6181112)",http://hepdata.cedar.ac.uk/view/p733,p733,"S. Chekanov et al. Nucl.Phys.B718:3-31,2005. ",10.1016/j.nuclphysb.2005.04.009,Y,1,31,27,,,"HEPData AND ""p733""",0
56,"Published: PR D71,091108 Preprint: FERMILAB-PUB-05-046-E (Spires ID: 6171931)",http://hepdata.cedar.ac.uk/view/p1116,p1116,"V.M. Abazov et al. Phys.Rev.D71:091108,2005. ",10.1103/PhysRevD.71.091108,Y,1,17,11,,,"HEPData AND ""p1116""",0
57,"Published: EPJ A23,317 (Spires ID: 6162304)",http://hepdata.cedar.ac.uk/view/p990,p990,"C. Wu et al. Eur.Phys.J.A23:317-344,2005.",10.1140/epja/i2004-10093-9,Y,1,14,14,,,"HEPData AND ""p990""",0
58,"Published: PL B621,41 Preprint: BELLE-PREPRINT-2005-5 (Spires ID: 6143202)",http://hepdata.cedar.ac.uk/view/p76,p76,"Chen-Cheng Kuo et al. Phys.Lett.B621:41-55,2005. ",10.1016/j.physletb.2005.06.036,Y,1,19,17,,,"HEPData AND ""p76""",0
59,"Published: PRL 94,202002 Preprint: CERN-PH-EP/2005-003 (Spires ID: 6142290)",http://hepdata.cedar.ac.uk/view/p377,p377,"V.Yu. Alexakhin et al. Phys.Rev.Lett.94:202002,2005.",10.1103/PhysRevLett.94.202002,Y,2,199,145,,,"HEPData AND ""p377""",0
60,"Published: PRL 94,232001 Erratum: ? Preprint: ? (Spires ID: 6133959)",http://hepdata.cedar.ac.uk/view/p1,p1,"V.M. Abazov et al. Phys.Rev.Lett.94:232001,2005, Erratum-ibid.100:049902,2008. e-Print: hep-ex/0502030",10.1103/PhysRevLett.94.042001,Y,1,37,28,,,"HEPData AND ""p1""",123
61,"Published: PL B632,13 Preprint: DESY-05-017 (Spires ID: 6133940)",http://hepdata.cedar.ac.uk/view/p731,p731,"S. Chekanov et al. Phys.Lett.B632:13-26,2006. ",10.1016/j.physletb.2005.09.066,Y,1,14,12,,,"HEPData AND ""p731""",0
62,"Published: EPJ C40,287 Preprint: CERN-PH-EP-2004-044 (Spires ID: 6132243)",http://hepdata.cedar.ac.uk/view/p366,p366,"G. Abbiendi et al. Eur.Phys.J.C40:287-316,2005.",10.1140/epjc/s2005-02120-6,Y,1,31,29,,,"HEPData AND ""p366""",0
63,"Published: PR D71,052001 Preprint: SLAC-PUB-11026 (Spires ID: 6129676)",http://hepdata.cedar.ac.uk/view/p5129,p5129,"Bernard Aubert et al. Phys.Rev.D71:052001,2005. ",10.1103/PhysRevD.71.052001 ,Y,1,76,58,,,"HEPData AND ""p5129""",0
64,"Published: EPJ C44,183 Preprint: DESY-05-019 (Spires ID: 6121730)",http://hepdata.cedar.ac.uk/view/p732,p732,"S. Chekanov et al. Eur.Phys.J.C44:183-193,2005.",10.1140/epjc/s2005-02347-1,Y,1,13,11,,,"HEPData AND ""p732""",0
65,"Published: EPJ C41,273 Preprint: DESY-04-247 (Spires ID: 6118658)",http://hepdata.cedar.ac.uk/view/p730,p730,"A. Aktas et al. Eur.Phys.J.C41:273-286,2005. ",10.1140/epjc/s2005-02227-8,Y,1,15,9,,,"HEPData AND ""p730""",0
66,"Published: PL B612,154 Preprint: CERN-PH-EP/2005-001 (Spires ID: 6118640)",http://hepdata.cedar.ac.uk/view/p376,p376,"E.S. Ageev et al. Phys.Lett.B612:154-164,2005. ",10.1016/j.physletb.2005.03.025,Y,1,85,54,,,"HEPData AND ""p376"""
67,"Published: NP B713,3 Preprint: DESY-05-011 (Spires ID: 6110363)",http://hepdata.cedar.ac.uk/view/p6855,p6855,"S. Chekanov et al. Nucl.Phys.B713:3-80,2005.",10.1016/j.nuclphysb.2005.02.001,Y,1,78,57,,,"HEPData AND ""p6855"""
68,"Published: PRL 94,211801 Preprint: FERMILAB-PUB-05-009-E (Spires ID: 6108431)",http://hepdata.cedar.ac.uk/view/p1115,p1115,"Darin E. Acosta et al. Phys.Rev.Lett.94:211801,2005. ",10.1103/PhysRevLett.94.211801,Y,1,20,16,,,"HEPData AND ""p1115"""
69,"Published: PR D71,032001 (Spires ID: 6088058)",http://hepdata.cedar.ac.uk/view/p5128,p5128,"D. Acosta et al. Phys.Rev.D71:032001,2005.",10.1103/PhysRevD.71.112001,Y,2,370,292,,,"HEPData AND ""p5128"""
70,"Published: PL B615,39 Preprint: BELLE-PREPRINT-2004-39 (Spires ID: 6084192)",http://hepdata.cedar.ac.uk/view/p75,p75,"H. Nakazawa et al. Phys.Lett.B615:39-49,2005.",10.1016/j.physletb.2005.03.067,Y,1,33,29,,,"HEPData AND ""p75"""
71,"Published: PRL 95,022003 Preprint: HEP-EX/0412050 (Spires ID: 6080774)",http://hepdata.cedar.ac.uk/view/p1343,p1343,"Darin E. Acosta et al. Phys.Rev.Lett.95:022003,2005. ",10.1103/PhysRevLett.95.022003,Y,1,28,23,,,"HEPData AND ""p1343"""
72,Published: EUR.PHYS.J.C39 335-345 (Spires ID: 6076947),http://hepdata.cedar.ac.uk/view/p7977,p7977,"B. Alessandro et al. Eur.Phys.J.C39:335-345,2005.",10.1140/epjc/s2004-02107-9,Y,2,117,104,,,"HEPData AND ""p7977"""
73,"Published: PR D71,072004 Erratum: ARXIV:0801.3623 Archive: ARXIV:0801.3623 (Spires ID: 6069886)",http://hepdata.cedar.ac.uk/view/p38,p38,"V.M. Abazov et al. Phys.Rev.D71:072004,2005, Erratum-ibid.D77:039901,2008.",10.1103/PhysRevD.71.072004,Y,2,23,16,,,"HEPData AND ""p38"""
74,"Published: EPJ C40,349 Preprint: DESY-04-209 (Spires ID: 6048242)",http://hepdata.cedar.ac.uk/view/p729,p376,"A. Aktas et al. Eur.Phys.J.C40:349-359,2005. ",10.1140/epjc/s2005-02154-8,Y,1,71,53,,,"HEPData AND ""p376"""
75,"Published: PRL 94,151801 Preprint: Fermilab-Pub-04/293-E (Spires ID: 6027393)",http://hepdata.cedar.ac.uk/view/p1308,p1308,"V.M. Abazov et al. Phys.Rev.Lett.94:151801,2005, Erratum-ibid.100:139901,2008. ",10.1103/PhysRevLett.94.041801,Y,1,43,37,,,"HEPData AND ""p1308"""
76,"Published: PR D71,052003 Preprint: FERMILAB-PUB-04-275-E (Spires ID: 6021093)",http://hepdata.cedar.ac.uk/view/p1113,p1113,"D. Acosta et al. Phys.Rev.D71:052003,2005.",10.1103/PhysRevD.71.052003,Y,1,129,121,,,"HEPData AND ""p1113"""
77,"Published: PRL 94,041803 Preprint: FERMILAB-PUB-04-246-E (Spires ID: 6009786)",http://hepdata.cedar.ac.uk/view/p7654,p7654,"Darin E. Acosta et al. Phys.Rev.Lett.94:041803,2005.",10.1103/PhysRevLett.94.041803,Y,1,24,21,,,"HEPData AND ""p7654"""
78,"Published: PRL 94,242001 (Spires ID: 6009034)",http://hepdata.cedar.ac.uk/view/p5881,p5881,"D.J. Hamilton et al. Phys.Rev.Lett.94:242001,2005.",10.1103/PhysRevLett.94.242001,Y,1,8,6,,,"HEPData AND ""p5881"""
79,"Published: PR C71,058201 (Spires ID: 6007082)",http://hepdata.cedar.ac.uk/view/p4640,p4640,"J.W. Price et al. Phys.Rev.C71:058201,2005. ",10.1103/PhysRevC.71.058201,Y,1,11,8,,,"HEPData AND ""p4640"""
80,"Preprint: PRL 94,082301 (Spires ID: 6006019)",http://hepdata.cedar.ac.uk/view/p8011,p8011,"S.S. Adler et al. Phys.Rev.Lett.94:082301,2005. ",,Y,1,75,68,,,"HEPData AND ""p8011"""
